spc_latin,count_1995,count_2015,growth_trees_count,pct_crecimiento
ACER PLATANOIDES,109325.0,34189,-75136.0,-68.72718957237595
ACER RUBRUM,18000.0,17246,-754.0,-4.188888888888889
ACER SACCHARINUM,22347.0,12277,-10070.0,-45.06197699914977
ACER SACCHARUM,15363.0,2844,-12519.0,-81.4879906268307
FRAXINUS PENNSYLVANICA,17685.0,16251,-1434.0,-8.108566581849026
GINKGO BILOBA,13758.0,21024,7266.0,52.81290885303096
GLEDITSIA TRIACANTHOS,33727.0,64264,30537.0,90.54170249355116
PLATANUS ACERIFOLIA,88040.0,87014,-1026.0,-1.1653793730122672
PRUNUS SPECIES,735.0,29279,28544.0,3883.5374149659865
PYRUS CALLERYANA,31295.0,58931,27636.0,88.30803642754434
QUERCUS PALUSTRIS,36553.0,53185,16632.0,45.501053265121875
TILIA CORDATA,26489.0,29742,3253.0,12.28056929291404
ZELKOVA SERRATA,5740.0,29258,23518.0,409.7212543554007
STYPHNOLOBIUM JAPONICUM,0.0,19338,19338.0,inf
